e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
16042;CLV;Banská Bystrica;;Banská Bystrica;Cesta ku Smrečine;sm Mičínska,oproti SAD,ČS Shell OC Terminál;;48.734775;19.157033
16043;CLV;Banská Bystrica;;Banská Bystrica;Cesta ku Smrečine;sm Mičínska,oproti SAD,ČS Shell OC Terminál;;48.734775;19.157033
16052;CLV;Banská Bystrica;;Banská Bystrica;Kapitulská;centrum,pri SEZ,pamätník SNP;;48.733971;19.148363
16053;CLV;Banská Bystrica;;Banská Bystrica;Kapitulská;centrum,pri SEZ,pamätník SNP;;48.733971;19.148363
16058;CLV;Banská Bystrica;;Banská Bystrica;Dolná/SP-Allianz;centrum,pešia zóna,Allianz, Poštová banka OC POINT;;48.732285;19.140638
16059;CLV;Banská Bystrica;;Banská Bystrica;Dolná/SP-Allianz;centrum,pešia zóna,Allianz,Poštová banka OC POINT;;48.732285;19.140638
16060;CLV;Banská Bystrica;;Banská Bystrica;Dolná/č.17-19;centr,pešia zóna,Sberbank,VÚB;;48.733662;19.142785
16061;CLV;Banská Bystrica;;Banská Bystrica;Dolná/č.17-19;centr,pešia zóna,Sberbank,VÚB;;48.733662;19.142785
16062;CLV;Banská Bystrica;;Banská Bystrica;Dolná/č.5-7;centr,pešia zóna,Tatra banka,ČSOB;;48.734434;19.143807
16063;CLV;Banská Bystrica;;Banská Bystrica;Dolná/č.5-7;centr,pešia zóna,Tatra banka,ČSOB;;48.734434;19.143807
16068;CLV;Banská Bystrica;;Banská Bystrica;Švermova;sm Fončorda,oproti KÚ SC Europa,VUB,ČS Slovnaft;;48.728643;19.134607
16069;CLV;Banská Bystrica;;Banská Bystrica;Švermova;sm OC Europa,oproti KÚ,SC Europa,VUB,ČS Slovnaft;;48.728643;19.134607
16070;CLV;Banská Bystrica;;Banská Bystrica;Sládkovičova/Kalinčiakova;sm Kremnička,COOP Jednota,pošta poliklinika;;48.720022;19.132359
